station_id,timestamp,ebikes_available,classic_bikes_available,docks_available
7346145e-f487-4f07-acb8-ed3e0b8b56bb,2025/06/28 09:12,0,17,1
08253b2b-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,2,25
08261407-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,2,12
0824844b-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,1,10,3
0825460b-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,3,0,12
0824833c-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,2,2,11
1939176485434179842,2025/06/28 09:12,1,11,2
08258d95-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,8,15
3735d025-7e82-467c-8844-29d08d66b0e4,2025/06/28 09:12,2,5,2
0824927c-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,2,10,3
abd8bd04-94ec-4818-baf5-7f79742e982c,2025/06/28 09:12,0,0,13
082639c8-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,9,4
0825b8f0-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,2,15
a41e5bd2-b599-4c47-a36f-31ffa2e2dd0b,2025/06/28 09:12,0,7,10
082486f0-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,1,2,14
1934708272694780030,2025/06/28 09:12,0,6,9
2a76806e-32b4-4ec6-a851-f73ba7dafda1,2025/06/28 09:12,0,1,12
08254d7e-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,11,1
082572b6-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,1,4,5
082527e7-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,1,16,4
08257f71-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,1,4,9
0826518d-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,6,6,3
2057213452968541050,2025/06/28 09:12,0,10,1
08253976-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,15,4
0825f622-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,0,5,18
99644655-ef85-4e13-a331-a344d88ded32,2025/06/28 09:12,3,4,8
55fc40ce-5be9-4e45-9c84-daacced3c852,2025/06/28 09:12,0,11,7
08249fbc-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,1,13,17
0825b7cc-1f3f-11e7-bf6b-3863bb334450,2025/06/28 09:12,1,1,13
1931715167823202508,2025/06/28 09:12,0,10,8
